start_time,away_team,away_team_score,home_team,home_team_score
2006-11-01 01:00:00+00:00,CHICAGO BULLS,108,MIAMI HEAT,66
2006-11-01 03:30:00+00:00,PHOENIX SUNS,106,LOS ANGELES LAKERS,114
2006-11-02 00:00:00+00:00,INDIANA PACERS,106,CHARLOTTE BOBCATS,99
2006-11-02 00:00:00+00:00,CHICAGO BULLS,94,ORLANDO MAGIC,109
2006-11-02 00:00:00+00:00,ATLANTA HAWKS,75,PHILADELPHIA 76ERS,88
2006-11-02 00:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,91,BOSTON CELTICS,87
2006-11-02 00:30:00+00:00,TORONTO RAPTORS,92,NEW JERSEY NETS,102
2006-11-02 01:00:00+00:00,WASHINGTON WIZARDS,94,CLEVELAND CAVALIERS,97
2006-11-02 01:00:00+00:00,MILWAUKEE BUCKS,105,DETROIT PISTONS,97
2006-11-02 01:00:00+00:00,NEW YORK KNICKS,118,MEMPHIS GRIZZLIES,117
2006-11-02 01:00:00+00:00,SACRAMENTO KINGS,83,MINNESOTA TIMBERWOLVES,92
2006-11-02 02:00:00+00:00,HOUSTON ROCKETS,97,UTAH JAZZ,107
2006-11-02 03:00:00+00:00,PORTLAND TRAIL BLAZERS,110,SEATTLE SUPERSONICS,106
2006-11-02 03:30:00+00:00,LOS ANGELES LAKERS,110,GOLDEN STATE WARRIORS,98
2006-11-02 03:30:00+00:00,LOS ANGELES CLIPPERS,104,PHOENIX SUNS,112
2006-11-03 01:00:00+00:00,SAN ANTONIO SPURS,97,DALLAS MAVERICKS,91
2006-11-03 03:30:00+00:00,DENVER NUGGETS,95,LOS ANGELES CLIPPERS,96
2006-11-04 00:00:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,100,INDIANA PACERS,91
2006-11-04 00:00:00+00:00,PHILADELPHIA 76ERS,105,ORLANDO MAGIC,103
2006-11-04 00:00:00+00:00,MILWAUKEE BUCKS,92,TORONTO RAPTORS,109
2006-11-04 00:30:00+00:00,NEW YORK KNICKS,92,ATLANTA HAWKS,102
2006-11-04 00:30:00+00:00,DETROIT PISTONS,101,BOSTON CELTICS,88
2006-11-04 00:30:00+00:00,NEW JERSEY NETS,85,MIAMI HEAT,91
2006-11-04 01:00:00+00:00,CHARLOTTE BOBCATS,83,MEMPHIS GRIZZLIES,96
2006-11-04 01:00:00+00:00,CLEVELAND CAVALIERS,88,SAN ANTONIO SPURS,81
2006-11-04 01:30:00+00:00,SACRAMENTO KINGS,89,CHICAGO BULLS,88
2006-11-04 02:00:00+00:00,MINNESOTA TIMBERWOLVES,112,DENVER NUGGETS,109
2006-11-04 02:00:00+00:00,UTAH JAZZ,108,PHOENIX SUNS,104
