Team,Season
ATL,2002
ATL,2003
ATL,2004
ATL,2005
ATL,2006
ATL,2007
ATL,2008
ATL,2009
ATL,2010
ATL,2011
ATL,2012
ATL,2013
ATL,2014
ATL,2015
ATL,2016
ATL,2017
ATL,2018
ATL,2019
BOS,2002
BOS,2003
BOS,2004
BOS,2005
BOS,2006
BOS,2007
BOS,2008
BOS,2009
BOS,2010
BOS,2011
BOS,2012
BOS,2013
BOS,2014
BOS,2015
BOS,2016
BOS,2017
BOS,2018
BOS,2019
NJN,2002
NJN,2003
NJN,2004
NJN,2005
NJN,2006
NJN,2007
NJN,2008
NJN,2009
NJN,2010
NJN,2011
NJN,2012
BRK,2013
BRK,2014
BRK,2015
BRK,2016
BRK,2017
BRK,2018
BRK,2019
CHA,2005
CHA,2006
CHA,2007
CHA,2008
CHA,2009
CHA,2010
CHA,2011
CHA,2012
CHA,2013
CHA,2014
CHO,2015
CHO,2016
CHO,2017
CHO,2018
CHO,2019
CHI,2002
CHI,2003
CHI,2004
CHI,2005
CHI,2006
CHI,2007
CHI,2008
CHI,2009
CHI,2010
CHI,2011
CHI,2012
CHI,2013
CHI,2014
CHI,2015
CHI,2016
CHI,2017
CHI,2018
CHI,2019
CLE,2002
CLE,2003
CLE,2004
CLE,2005
CLE,2006
CLE,2007
CLE,2008
CLE,2009
CLE,2010
CLE,2011
CLE,2012
CLE,2013
CLE,2014
CLE,2015
CLE,2016
CLE,2017
CLE,2018
CLE,2019
DAL,2002
DAL,2003
DAL,2004
DAL,2005
DAL,2006
DAL,2007
DAL,2008
DAL,2009
DAL,2010
DAL,2011
DAL,2012
DAL,2013
DAL,2014
DAL,2015
DAL,2016
DAL,2017
DAL,2018
DAL,2019
DEN,2002
DEN,2003
DEN,2004
DEN,2005
DEN,2006
DEN,2007
DEN,2008
DEN,2009
DEN,2010
DEN,2011
DEN,2012
DEN,2013
DEN,2014
DEN,2015
DEN,2016
DEN,2017
DEN,2018
DEN,2019
DET,2002
DET,2003
DET,2004
DET,2005
DET,2006
DET,2007
DET,2008
DET,2009
DET,2010
DET,2011
DET,2012
DET,2013
DET,2014
DET,2015
DET,2016
DET,2017
DET,2018
DET,2019
GSW,2002
GSW,2003
GSW,2004
GSW,2005
GSW,2006
GSW,2007
GSW,2008
GSW,2009
GSW,2010
GSW,2011
GSW,2012
GSW,2013
GSW,2014
GSW,2015
GSW,2016
GSW,2017
GSW,2018
GSW,2019
HOU,2002
HOU,2003
HOU,2004
HOU,2005
HOU,2006
HOU,2007
HOU,2008
HOU,2009
HOU,2010
HOU,2011
HOU,2012
HOU,2013
HOU,2014
HOU,2015
HOU,2016
HOU,2017
HOU,2018
HOU,2019
IND,2002
IND,2003
IND,2004
IND,2005
IND,2006
IND,2007
IND,2008
IND,2009
IND,2010
IND,2011
IND,2012
IND,2013
IND,2014
IND,2015
IND,2016
IND,2017
IND,2018
IND,2019
LAC,2002
LAC,2003
LAC,2004
LAC,2005
LAC,2006
LAC,2007
LAC,2008
LAC,2009
LAC,2010
LAC,2011
LAC,2012
LAC,2013
LAC,2014
LAC,2015
LAC,2016
LAC,2017
LAC,2018
LAC,2019
LAL,2002
LAL,2003
LAL,2004
LAL,2005
LAL,2006
LAL,2007
LAL,2008
LAL,2009
LAL,2010
LAL,2011
LAL,2012
LAL,2013
LAL,2014
LAL,2015
LAL,2016
LAL,2017
LAL,2018
LAL,2019
MEM,2002
MEM,2003
MEM,2004
MEM,2005
MEM,2006
MEM,2007
MEM,2008
MEM,2009
MEM,2010
MEM,2011
MEM,2012
MEM,2013
MEM,2014
MEM,2015
MEM,2016
MEM,2017
MEM,2018
MEM,2019
MIA,2002
MIA,2003
MIA,2004
MIA,2005
MIA,2006
MIA,2007
MIA,2008
MIA,2009
MIA,2010
MIA,2011
MIA,2012
MIA,2013
MIA,2014
MIA,2015
MIA,2016
MIA,2017
MIA,2018
MIA,2019
MIL,2002
MIL,2003
MIL,2004
MIL,2005
MIL,2006
MIL,2007
MIL,2008
MIL,2009
MIL,2010
MIL,2011
MIL,2012
MIL,2013
MIL,2014
MIL,2015
MIL,2016
MIL,2017
MIL,2018
MIL,2019
MIN,2002
MIN,2003
MIN,2004
MIN,2005
MIN,2006
MIN,2007
MIN,2008
MIN,2009
MIN,2010
MIN,2011
MIN,2012
MIN,2013
MIN,2014
MIN,2015
MIN,2016
MIN,2017
MIN,2018
MIN,2019
NOH,2003
NOH,2004
NOH,2005
NOH,2008
NOH,2009
NOH,2010
NOH,2011
NOH,2012
NOH,2013
NOP,2014
NOP,2015
NOP,2016
NOP,2017
NOP,2018
NOP,2019
NYK,2002
NYK,2003
NYK,2004
NYK,2005
NYK,2006
NYK,2007
NYK,2008
NYK,2009
NYK,2010
NYK,2011
NYK,2012
NYK,2013
NYK,2014
NYK,2015
NYK,2016
NYK,2017
NYK,2018
NYK,2019
SEA,2002
SEA,2003
SEA,2004
SEA,2005
SEA,2006
SEA,2007
SEA,2008
OKC,2009
OKC,2010
OKC,2011
OKC,2012
OKC,2013
OKC,2014
OKC,2015
OKC,2016
OKC,2017
OKC,2018
OKC,2019
ORL,2002
ORL,2003
ORL,2004
ORL,2005
ORL,2006
ORL,2007
ORL,2008
ORL,2009
ORL,2010
ORL,2011
ORL,2012
ORL,2013
ORL,2014
ORL,2015
ORL,2016
ORL,2017
ORL,2018
ORL,2019
PHI,2002
PHI,2003
PHI,2004
PHI,2005
PHI,2006
PHI,2007
PHI,2008
PHI,2009
PHI,2010
PHI,2011
PHI,2012
PHI,2013
PHI,2014
PHI,2015
PHI,2016
PHI,2017
PHI,2018
PHI,2019
PHO,2002
PHO,2003
PHO,2004
PHO,2005
PHO,2006
PHO,2007
PHO,2008
PHO,2009
PHO,2010
PHO,2011
PHO,2012
PHO,2013
PHO,2014
PHO,2015
PHO,2016
PHO,2017
PHO,2018
PHO,2019
POR,2002
POR,2003
POR,2004
POR,2005
POR,2006
POR,2007
POR,2008
POR,2009
POR,2010
POR,2011
POR,2012
POR,2013
POR,2014
POR,2015
POR,2016
POR,2017
POR,2018
POR,2019
SAC,2002
SAC,2003
SAC,2004
SAC,2005
SAC,2006
SAC,2007
SAC,2008
SAC,2009
SAC,2010
SAC,2011
SAC,2012
SAC,2013
SAC,2014
SAC,2015
SAC,2016
SAC,2017
SAC,2018
SAC,2019
SAS,2002
SAS,2003
SAS,2004
SAS,2005
SAS,2006
SAS,2007
SAS,2008
SAS,2009
SAS,2010
SAS,2011
SAS,2012
SAS,2013
SAS,2014
SAS,2015
SAS,2016
SAS,2017
SAS,2018
SAS,2019
TOR,2002
TOR,2003
TOR,2004
TOR,2005
TOR,2006
TOR,2007
TOR,2008
TOR,2009
TOR,2010
TOR,2011
TOR,2012
TOR,2013
TOR,2014
TOR,2015
TOR,2016
TOR,2017
TOR,2018
TOR,2019
UTA,2002
UTA,2003
UTA,2004
UTA,2005
UTA,2006
UTA,2007
UTA,2008
UTA,2009
UTA,2010
UTA,2011
UTA,2012
UTA,2013
UTA,2014
UTA,2015
UTA,2016
UTA,2017
UTA,2018
UTA,2019
WAS,2002
WAS,2003
WAS,2004
WAS,2005
WAS,2006
WAS,2007
WAS,2008
WAS,2009
WAS,2010
WAS,2011
WAS,2012
WAS,2013
WAS,2014
WAS,2015
WAS,2016
WAS,2017
WAS,2018
WAS,2019
