start_time,away_team,away_team_score,home_team,home_team_score
2004-11-03 01:00:00+00:00,HOUSTON ROCKETS,79,DETROIT PISTONS,87
2004-11-03 01:30:00+00:00,SACRAMENTO KINGS,98,DALLAS MAVERICKS,107
2004-11-03 03:30:00+00:00,DENVER NUGGETS,78,LOS ANGELES LAKERS,89
2004-11-04 00:00:00+00:00,INDIANA PACERS,109,CLEVELAND CAVALIERS,104
2004-11-04 00:00:00+00:00,MILWAUKEE BUCKS,92,ORLANDO MAGIC,93
2004-11-04 00:00:00+00:00,HOUSTON ROCKETS,88,TORONTO RAPTORS,95
2004-11-04 00:30:00+00:00,PHILADELPHIA 76ERS,98,BOSTON CELTICS,95
2004-11-04 01:00:00+00:00,WASHINGTON WIZARDS,103,MEMPHIS GRIZZLIES,91
2004-11-04 01:00:00+00:00,NEW YORK KNICKS,93,MINNESOTA TIMBERWOLVES,99
2004-11-04 01:00:00+00:00,MIAMI HEAT,100,NEW JERSEY NETS,77
2004-11-04 01:00:00+00:00,DALLAS MAVERICKS,106,NEW ORLEANS HORNETS,91
2004-11-04 01:30:00+00:00,SACRAMENTO KINGS,85,SAN ANTONIO SPURS,101
2004-11-04 02:00:00+00:00,ATLANTA HAWKS,82,PHOENIX SUNS,112
2004-11-04 03:30:00+00:00,PORTLAND TRAIL BLAZERS,78,GOLDEN STATE WARRIORS,75
2004-11-04 03:30:00+00:00,SEATTLE SUPERSONICS,84,LOS ANGELES CLIPPERS,114
2004-11-04 03:30:00+00:00,LOS ANGELES LAKERS,78,UTAH JAZZ,104
2004-11-05 00:00:00+00:00,WASHINGTON WIZARDS,103,CHARLOTTE BOBCATS,96
2004-11-05 01:00:00+00:00,CLEVELAND CAVALIERS,86,MIAMI HEAT,92
2004-11-05 03:30:00+00:00,MINNESOTA TIMBERWOLVES,92,DENVER NUGGETS,94
2004-11-06 00:00:00+00:00,PHOENIX SUNS,108,PHILADELPHIA 76ERS,98
2004-11-06 00:00:00+00:00,DETROIT PISTONS,89,TORONTO RAPTORS,101
2004-11-06 00:30:00+00:00,INDIANA PACERS,100,BOSTON CELTICS,94
2004-11-06 01:00:00+00:00,HOUSTON ROCKETS,89,MEMPHIS GRIZZLIES,81
2004-11-06 01:00:00+00:00,ORLANDO MAGIC,90,NEW ORLEANS HORNETS,89
2004-11-06 01:30:00+00:00,NEW JERSEY NETS,111,CHICAGO BULLS,106
2004-11-06 03:00:00+00:00,LOS ANGELES CLIPPERS,81,PORTLAND TRAIL BLAZERS,94
2004-11-06 03:30:00+00:00,UTAH JAZZ,102,GOLDEN STATE WARRIORS,80
2004-11-06 03:30:00+00:00,SAN ANTONIO SPURS,105,LOS ANGELES LAKERS,96
2004-11-06 03:30:00+00:00,ATLANTA HAWKS,85,SEATTLE SUPERSONICS,106
2004-11-07 00:00:00+00:00,ORLANDO MAGIC,100,CHARLOTTE BOBCATS,111
2004-11-07 00:00:00+00:00,MIAMI HEAT,118,WASHINGTON WIZARDS,106
2004-11-07 00:30:00+00:00,PHILADELPHIA 76ERS,91,DETROIT PISTONS,99
2004-11-07 00:30:00+00:00,BOSTON CELTICS,107,NEW YORK KNICKS,73
2004-11-07 01:00:00+00:00,CHICAGO BULLS,90,INDIANA PACERS,100
2004-11-07 01:00:00+00:00,NEW ORLEANS HORNETS,92,MINNESOTA TIMBERWOLVES,99
2004-11-07 01:00:00+00:00,PHOENIX SUNS,112,NEW JERSEY NETS,80
2004-11-07 01:30:00+00:00,MEMPHIS GRIZZLIES,88,DALLAS MAVERICKS,112
2004-11-07 01:30:00+00:00,SACRAMENTO KINGS,101,HOUSTON ROCKETS,104
2004-11-07 01:30:00+00:00,CLEVELAND CAVALIERS,88,MILWAUKEE BUCKS,102
2004-11-07 02:00:00+00:00,UTAH JAZZ,106,DENVER NUGGETS,82
2004-11-07 03:30:00+00:00,LOS ANGELES CLIPPERS,94,GOLDEN STATE WARRIORS,86
2004-11-07 17:30:00+00:00,PORTLAND TRAIL BLAZERS,97,TORONTO RAPTORS,101
2004-11-08 01:00:00+00:00,SAN ANTONIO SPURS,94,SEATTLE SUPERSONICS,113
2004-11-08 02:30:00+00:00,ATLANTA HAWKS,90,LOS ANGELES LAKERS,106
2004-11-09 01:30:00+00:00,GOLDEN STATE WARRIORS,98,DALLAS MAVERICKS,101
2004-11-09 02:00:00+00:00,DENVER NUGGETS,91,UTAH JAZZ,102
2004-11-09 03:30:00+00:00,DETROIT PISTONS,99,LOS ANGELES CLIPPERS,96
2004-11-10 00:00:00+00:00,DALLAS MAVERICKS,84,ORLANDO MAGIC,94
2004-11-10 00:30:00+00:00,CLEVELAND CAVALIERS,93,ATLANTA HAWKS,79
2004-11-10 00:30:00+00:00,WASHINGTON WIZARDS,93,MIAMI HEAT,103
2004-11-10 00:30:00+00:00,PORTLAND TRAIL BLAZERS,60,NEW JERSEY NETS,64
2004-11-10 00:30:00+00:00,PHILADELPHIA 76ERS,88,NEW YORK KNICKS,96
2004-11-10 01:00:00+00:00,INDIANA PACERS,102,MINNESOTA TIMBERWOLVES,101
2004-11-10 01:00:00+00:00,LOS ANGELES LAKERS,106,NEW ORLEANS HORNETS,98
2004-11-10 01:30:00+00:00,PHOENIX SUNS,94,CHICAGO BULLS,74
2004-11-10 01:30:00+00:00,MEMPHIS GRIZZLIES,87,HOUSTON ROCKETS,90
2004-11-10 02:00:00+00:00,SEATTLE SUPERSONICS,108,DENVER NUGGETS,88
2004-11-10 03:00:00+00:00,TORONTO RAPTORS,92,SACRAMENTO KINGS,108
2004-11-11 00:00:00+00:00,PORTLAND TRAIL BLAZERS,88,BOSTON CELTICS,90
2004-11-11 00:00:00+00:00,LOS ANGELES CLIPPERS,102,INDIANA PACERS,68
2004-11-11 00:00:00+00:00,NEW JERSEY NETS,100,PHILADELPHIA 76ERS,108
2004-11-11 00:00:00+00:00,ORLANDO MAGIC,96,WASHINGTON WIZARDS,106
2004-11-11 01:00:00+00:00,PHOENIX SUNS,109,CLEVELAND CAVALIERS,114
2004-11-11 01:00:00+00:00,LOS ANGELES LAKERS,87,MEMPHIS GRIZZLIES,110
2004-11-11 01:00:00+00:00,CHARLOTTE BOBCATS,100,MILWAUKEE BUCKS,102
2004-11-11 01:30:00+00:00,GOLDEN STATE WARRIORS,71,SAN ANTONIO SPURS,91
2004-11-11 02:00:00+00:00,TORONTO RAPTORS,104,UTAH JAZZ,95
2004-11-11 03:30:00+00:00,SACRAMENTO KINGS,78,SEATTLE SUPERSONICS,108
2004-11-12 01:00:00+00:00,DALLAS MAVERICKS,113,MIAMI HEAT,93
2004-11-12 01:30:00+00:00,MINNESOTA TIMBERWOLVES,96,HOUSTON ROCKETS,91
2004-11-12 03:30:00+00:00,DETROIT PISTONS,109,DENVER NUGGETS,117
2004-11-13 00:00:00+00:00,LOS ANGELES LAKERS,113,ORLANDO MAGIC,122
2004-11-13 00:00:00+00:00,INDIANA PACERS,104,PHILADELPHIA 76ERS,106
2004-11-13 00:30:00+00:00,CHARLOTTE BOBCATS,74,BOSTON CELTICS,91
2004-11-13 00:30:00+00:00,LOS ANGELES CLIPPERS,96,NEW YORK KNICKS,110
2004-11-13 01:00:00+00:00,GOLDEN STATE WARRIORS,67,MEMPHIS GRIZZLIES,96
2004-11-13 01:00:00+00:00,ATLANTA HAWKS,96,NEW ORLEANS HORNETS,95
2004-11-13 01:00:00+00:00,MIAMI HEAT,84,SAN ANTONIO SPURS,93
2004-11-13 03:30:00+00:00,TORONTO RAPTORS,87,SEATTLE SUPERSONICS,88
2004-11-13 18:00:00+00:00,WASHINGTON WIZARDS,74,CLEVELAND CAVALIERS,105
2004-11-13 18:00:00+00:00,DALLAS MAVERICKS,94,NEW JERSEY NETS,78
2004-11-14 00:00:00+00:00,SAN ANTONIO SPURS,103,ATLANTA HAWKS,88
2004-11-14 00:00:00+00:00,GOLDEN STATE WARRIORS,103,CHARLOTTE BOBCATS,87
2004-11-14 01:00:00+00:00,NEW YORK KNICKS,97,INDIANA PACERS,103
2004-11-14 01:30:00+00:00,LOS ANGELES CLIPPERS,97,CHICAGO BULLS,96
2004-11-14 01:30:00+00:00,LOS ANGELES LAKERS,84,HOUSTON ROCKETS,79
2004-11-14 01:30:00+00:00,NEW ORLEANS HORNETS,91,MILWAUKEE BUCKS,94
2004-11-14 02:00:00+00:00,SACRAMENTO KINGS,113,PHOENIX SUNS,111
2004-11-14 02:00:00+00:00,DETROIT PISTONS,93,UTAH JAZZ,108
2004-11-14 03:00:00+00:00,TORONTO RAPTORS,102,PORTLAND TRAIL BLAZERS,105
2004-11-14 18:00:00+00:00,DALLAS MAVERICKS,122,WASHINGTON WIZARDS,113
2004-11-14 19:00:00+00:00,ORLANDO MAGIC,87,PHILADELPHIA 76ERS,96
2004-11-14 23:00:00+00:00,MILWAUKEE BUCKS,110,MIAMI HEAT,112
2004-11-15 01:00:00+00:00,MEMPHIS GRIZZLIES,113,SEATTLE SUPERSONICS,118
2004-11-15 02:00:00+00:00,DENVER NUGGETS,89,SACRAMENTO KINGS,101
2004-11-16 00:00:00+00:00,GOLDEN STATE WARRIORS,88,CLEVELAND CAVALIERS,99
2004-11-16 00:30:00+00:00,HOUSTON ROCKETS,80,NEW JERSEY NETS,69
2004-11-17 00:00:00+00:00,UTAH JAZZ,107,CHARLOTTE BOBCATS,105
2004-11-17 00:00:00+00:00,SEATTLE SUPERSONICS,103,PHILADELPHIA 76ERS,95
2004-11-17 00:30:00+00:00,HOUSTON ROCKETS,84,ATLANTA HAWKS,88
